ObservationIndex,Model,Level,Split,Actual,Predicted,Residual,PeriodKey,Ward,WardLat,WardLon,Feature,FeatureValue,SHAPValue
1,TorchLSTM,WardTokyo,val,435294.125,413261.68179512024,22032.44320487976,2020-Q2,Adachi Ward,35.776974410659406,139.7979998588562,TransactionCount,1.06685471534729,-0.001120746077504009
1,TorchLSTM,WardTokyo,val,435294.125,413261.68179512024,22032.44320487976,2020-Q2,Adachi Ward,35.776974410659406,139.7979998588562,AvgBuildingAge,0.3889142870903015,-0.000984444544883445
1,TorchLSTM,WardTokyo,val,435294.125,413261.68179512024,22032.44320487976,2020-Q2,Adachi Ward,35.776974410659406,139.7979998588562,ActiveMeshes,1.5877351760864258,-0.00770772117539309
2,TorchLSTM,WardTokyo,val,446153.84375,405905.544757843,40248.29899215698,2020-Q3,Adachi Ward,35.776974410659406,139.7979998588562,MedianPriceSqM,-1.2337315082550049,-0.006488440656539751
2,TorchLSTM,WardTokyo,val,446153.84375,405905.544757843,40248.29899215698,2020-Q3,Adachi Ward,35.776974410659406,139.7979998588562,MedianPriceSqM_lag1,-1.2538573741912842,-0.0027768917607318144
2,TorchLSTM,WardTokyo,val,446153.84375,405905.544757843,40248.29899215698,2020-Q3,Adachi Ward,35.776974410659406,139.7979998588562,MedianPriceSqM_ma4q,-1.277491807937622,-0.008897865467588417
2,TorchLSTM,WardTokyo,val,446153.84375,405905.544757843,40248.29899215698,2020-Q3,Adachi Ward,35.776974410659406,139.7979998588562,MedianPriceSqM_growth_qoq,0.1209888905286789,0.013713708089198917
2,TorchLSTM,WardTokyo,val,446153.84375,405905.544757843,40248.29899215698,2020-Q3,Adachi Ward,35.776974410659406,139.7979998588562,TransactionCount,1.0235686302185059,-0.00916051905369386
2,TorchLSTM,WardTokyo,val,446153.84375,405905.544757843,40248.29899215698,2020-Q3,Adachi Ward,35.776974410659406,139.7979998588562,AvgBuildingAge,0.19044534862041473,-0.00801212340593338
2,TorchLSTM,WardTokyo,val,446153.84375,405905.544757843,40248.29899215698,2020-Q3,Adachi Ward,35.776974410659406,139.7979998588562,ActiveMeshes,1.5877351760864258,-0.008030038297874853
3,TorchLSTM,WardTokyo,val,466666.65625,425761.04402542114,40905.61222457886,2020-Q4,Adachi Ward,35.776974410659406,139.7979998588562,MedianPriceSqM,-1.1997923851013184,-0.002428981877528713
3,TorchLSTM,WardTokyo,val,466666.65625,425761.04402542114,40905.61222457886,2020-Q4,Adachi Ward,35.776974410659406,139.7979998588562,MedianPriceSqM_lag1,-1.2250391244888306,-0.001656432945310371
3,TorchLSTM,WardTokyo,val,466666.65625,425761.04402542114,40905.61222457886,2020-Q4,Adachi Ward,35.776974410659406,139.7979998588562,MedianPriceSqM_ma4q,-1.2467169761657715,-0.006327520866761915
3,TorchLSTM,WardTokyo,val,466666.65625,425761.04402542114,40905.61222457886,2020-Q4,Adachi Ward,35.776974410659406,139.7979998588562,MedianPriceSqM_growth_qoq,0.15986496210098267,0.013781383022433147
3,TorchLSTM,WardTokyo,val,466666.65625,425761.04402542114,40905.61222457886,2020-Q4,Adachi Ward,35.776974410659406,139.7979998588562,TransactionCount,1.1197597980499268,0.0011088591418229043
